datetime_utc,dry_bulb_c
1986-11-20T12:50:00.000000+0000,5.0
1986-11-20T13:45:00.000000+0000,4.0
1986-11-20T14:45:00.000000+0000,5.0
1986-11-20T15:45:00.000000+0000,4.0
1986-11-20T16:45:00.000000+0000,5.0
1986-11-20T17:45:00.000000+0000,5.0
1986-11-20T18:45:00.000000+0000,5.0
1986-11-21T06:45:00.000000+0000,3.0
1986-11-21T08:45:00.000000+0000,3.0
1986-11-21T09:45:00.000000+0000,2.0
1986-11-21T10:45:00.000000+0000,3.0
1986-11-21T11:45:00.000000+0000,3.0
1986-11-21T12:45:00.000000+0000,3.0
1986-11-21T13:45:00.000000+0000,4.0
1986-11-21T14:45:00.000000+0000,4.0
1986-11-21T15:45:00.000000+0000,4.0
1986-11-21T16:45:00.000000+0000,1.0
1986-11-21T17:45:00.000000+0000,2.0
1986-11-21T18:45:00.000000+0000,2.0
1986-11-22T06:45:00.000000+0000,1.0
1986-11-22T07:45:00.000000+0000,1.0
1986-11-22T08:45:00.000000+0000,1.0
1986-11-22T09:45:00.000000+0000,1.0
1986-11-22T11:45:00.000000+0000,1.0
1986-11-22T12:45:00.000000+0000,1.0
1986-11-22T13:45:00.000000+0000,1.0
1986-11-23T14:45:00.000000+0000,7.0
1986-11-23T15:45:00.000000+0000,6.0
1986-11-23T17:45:00.000000+0000,7.0
1986-11-24T06:45:00.000000+0000,7.0
1986-11-24T08:45:00.000000+0000,
1986-11-24T09:45:00.000000+0000,7.0
1986-11-24T10:45:00.000000+0000,7.0
1986-11-24T11:45:00.000000+0000,6.0
1986-11-24T12:45:00.000000+0000,5.0
1986-11-24T13:50:00.000000+0000,5.0
1986-11-24T14:50:00.000000+0000,5.0
1986-11-24T16:50:00.000000+0000,5.0
1986-11-24T17:50:00.000000+0000,4.0
1986-11-24T18:50:00.000000+0000,4.0
1986-11-25T08:50:00.000000+0000,6.0
1986-11-25T12:50:00.000000+0000,6.0
1986-11-25T13:45:00.000000+0000,6.0
1986-11-25T14:45:00.000000+0000,6.0
1986-11-25T15:45:00.000000+0000,6.0
1986-11-25T16:45:00.000000+0000,5.0
1986-11-25T18:45:00.000000+0000,6.0
1986-11-26T06:45:00.000000+0000,5.0
1986-11-26T07:45:00.000000+0000,5.0
1986-11-26T08:45:00.000000+0000,6.0
1986-11-26T14:45:00.000000+0000,5.0
1986-11-26T15:45:00.000000+0000,5.0
1986-11-26T16:45:00.000000+0000,5.0
1986-11-26T17:45:00.000000+0000,5.0
1986-11-27T06:50:00.000000+0000,4.0
1986-11-27T07:50:00.000000+0000,4.0
1986-11-27T08:50:00.000000+0000,4.0
1986-11-27T09:50:00.000000+0000,4.0
1986-11-27T12:50:00.000000+0000,4.0
1986-11-27T13:45:00.000000+0000,3.0
1986-11-27T14:45:00.000000+0000,4.0
1986-11-27T15:45:00.000000+0000,3.0
1986-11-27T16:45:00.000000+0000,4.0
1986-11-27T17:45:00.000000+0000,5.0
1986-11-28T06:20:00.000000+0000,7.0
1986-11-28T08:50:00.000000+0000,7.0
1986-11-28T10:50:00.000000+0000,6.0
1986-11-28T11:50:00.000000+0000,6.0
1986-11-28T14:50:00.000000+0000,6.0
1986-11-28T16:50:00.000000+0000,6.0
1986-11-28T18:50:00.000000+0000,6.0
1986-11-29T06:50:00.000000+0000,5.0
1986-11-29T07:50:00.000000+0000,5.0
1986-11-29T09:50:00.000000+0000,4.0
1986-11-29T10:50:00.000000+0000,5.0
1986-11-29T13:50:00.000000+0000,4.0
1986-11-30T15:50:00.000000+0000,6.0
1986-11-30T17:50:00.000000+0000,6.0
1986-12-01T08:50:00.000000+0000,-1.0
1986-12-01T11:50:00.000000+0000,-2.0
1986-12-01T12:50:00.000000+0000,-2.0
1986-12-01T13:45:00.000000+0000,-2.0
1986-12-01T14:45:00.000000+0000,-2.0
1986-12-01T15:45:00.000000+0000,-4.0
1986-12-01T16:50:00.000000+0000,-2.0
1986-12-01T17:45:00.000000+0000,-2.0
1986-12-01T18:45:00.000000+0000,-3.0
1986-12-02T06:45:00.000000+0000,-3.0
1986-12-02T07:45:00.000000+0000,-3.0
1986-12-02T08:45:00.000000+0000,-3.0
1986-12-02T09:45:00.000000+0000,-3.0
1986-12-02T10:45:00.000000+0000,-2.0
1986-12-02T11:45:00.000000+0000,-3.0
1986-12-02T12:45:00.000000+0000,-2.0
1986-12-02T13:50:00.000000+0000,-3.0
1986-12-02T14:50:00.000000+0000,-3.0
1986-12-02T17:50:00.000000+0000,-3.0
1986-12-02T18:50:00.000000+0000,-3.0
1986-12-03T06:20:00.000000+0000,-3.0
1986-12-03T07:50:00.000000+0000,-3.0
1986-12-03T08:50:00.000000+0000,-3.0
1986-12-03T14:20:00.000000+0000,-3.0
1986-12-03T16:50:00.000000+0000,-2.0
1986-12-03T17:50:00.000000+0000,-2.0
1986-12-04T06:45:00.000000+0000,-3.0
1986-12-04T07:45:00.000000+0000,-3.0
1986-12-04T08:45:00.000000+0000,-3.0
1986-12-04T09:45:00.000000+0000,-3.0
1986-12-04T10:45:00.000000+0000,-3.0
1986-12-04T11:45:00.000000+0000,-2.0
1986-12-04T12:45:00.000000+0000,-2.0
1986-12-04T13:50:00.000000+0000,-3.0
1986-12-04T14:50:00.000000+0000,-3.0
1986-12-04T15:50:00.000000+0000,-3.0
1986-12-04T16:50:00.000000+0000,-3.0
1986-12-04T18:50:00.000000+0000,-3.0
1986-12-05T06:50:00.000000+0000,-2.0
1986-12-05T08:50:00.000000+0000,-2.0
1986-12-05T10:50:00.000000+0000,-1.0
1986-12-05T12:50:00.000000+0000,-1.0
1986-12-05T13:45:00.000000+0000,-2.0
1986-12-05T14:45:00.000000+0000,-2.0
1986-12-05T15:45:00.000000+0000,-3.0
1986-12-05T16:45:00.000000+0000,
1986-12-05T17:45:00.000000+0000,
1986-12-05T18:45:00.000000+0000,-3.0
1986-12-06T07:45:00.000000+0000,-3.0
1986-12-06T08:45:00.000000+0000,-3.0
1986-12-06T09:45:00.000000+0000,-3.0
1986-12-06T10:45:00.000000+0000,-3.0
1986-12-06T11:45:00.000000+0000,-3.0
1986-12-06T12:45:00.000000+0000,-4.0
1986-12-06T13:45:00.000000+0000,-4.0
1986-12-07T16:45:00.000000+0000,2.0
1986-12-07T17:45:00.000000+0000,3.0
1986-12-08T07:45:00.000000+0000,4.0
1986-12-08T08:45:00.000000+0000,4.0
1986-12-08T09:45:00.000000+0000,4.0
1986-12-08T10:45:00.000000+0000,3.0
1986-12-08T11:45:00.000000+0000,3.0
1986-12-08T12:45:00.000000+0000,4.0
1986-12-08T13:50:00.000000+0000,5.0
1986-12-08T14:50:00.000000+0000,7.0
1986-12-09T06:20:00.000000+0000,5.0
1986-12-09T07:50:00.000000+0000,5.0
1986-12-09T14:45:00.000000+0000,4.0
1986-12-09T15:45:00.000000+0000,4.0
1986-12-09T16:45:00.000000+0000,5.0
1986-12-09T17:45:00.000000+0000,4.0
1986-12-09T18:45:00.000000+0000,4.0
1986-12-10T06:45:00.000000+0000,4.0
1986-12-10T14:45:00.000000+0000,3.0
1986-12-10T17:45:00.000000+0000,5.0
1986-12-11T06:45:00.000000+0000,5.0
1986-12-11T07:45:00.000000+0000,5.0
1986-12-11T08:45:00.000000+0000,5.0
1986-12-11T10:45:00.000000+0000,6.0
1986-12-11T12:45:00.000000+0000,6.0
1986-12-11T13:50:00.000000+0000,5.0
1986-12-11T16:50:00.000000+0000,5.0
1986-12-11T17:50:00.000000+0000,5.0
1986-12-11T18:50:00.000000+0000,5.0
1986-12-12T06:20:00.000000+0000,4.0
1986-12-12T10:50:00.000000+0000,2.0
1986-12-12T14:50:00.000000+0000,5.0
1986-12-12T15:50:00.000000+0000,5.0
1986-12-12T16:50:00.000000+0000,5.0
1986-12-12T18:50:00.000000+0000,5.0
1986-12-13T06:50:00.000000+0000,4.0
1986-12-13T07:50:00.000000+0000,4.0
1986-12-13T08:50:00.000000+0000,4.0
1986-12-13T09:50:00.000000+0000,4.0
1986-12-13T11:50:00.000000+0000,4.0
1986-12-13T12:50:00.000000+0000,3.0
1986-12-13T13:50:00.000000+0000,3.0
1986-12-14T15:20:00.000000+0000,-3.0
1986-12-14T17:50:00.000000+0000,-3.0
1986-12-15T06:20:00.000000+0000,-3.0
1986-12-15T07:50:00.000000+0000,-3.0
1986-12-15T08:50:00.000000+0000,-3.0
1986-12-15T09:50:00.000000+0000,-3.0
1986-12-15T10:50:00.000000+0000,-3.0
1986-12-15T12:50:00.000000+0000,-2.0
1986-12-15T14:45:00.000000+0000,-3.0
1986-12-15T15:45:00.000000+0000,-3.0
1986-12-15T16:45:00.000000+0000,-3.0
1986-12-15T17:45:00.000000+0000,-2.0
1986-12-15T18:45:00.000000+0000,
1986-12-17T06:50:00.000000+0000,-1.0
1986-12-17T07:50:00.000000+0000,-1.0
1986-12-17T09:50:00.000000+0000,-2.0
1986-12-17T14:50:00.000000+0000,-2.0
1986-12-17T16:50:00.000000+0000,-2.0
1986-12-18T06:50:00.000000+0000,-4.0
1986-12-18T07:50:00.000000+0000,-4.0
1986-12-18T09:50:00.000000+0000,-4.0
1986-12-18T10:50:00.000000+0000,-3.0
1986-12-18T11:50:00.000000+0000,-3.0
1986-12-18T12:50:00.000000+0000,-3.0
1986-12-18T13:45:00.000000+0000,-4.0
1986-12-18T14:45:00.000000+0000,-4.0
1986-12-18T15:45:00.000000+0000,-4.0
1986-12-18T16:45:00.000000+0000,-4.0
1986-12-18T17:45:00.000000+0000,-4.0
1986-12-18T18:45:00.000000+0000,-4.0
1986-12-19T07:45:00.000000+0000,-3.0
1986-12-19T08:45:00.000000+0000,-3.0
1986-12-19T09:45:00.000000+0000,-3.0
1986-12-19T10:45:00.000000+0000,-3.0
1986-12-19T11:45:00.000000+0000,-4.0
1986-12-19T13:45:00.000000+0000,-3.0
1986-12-19T14:45:00.000000+0000,-3.0
